Asset,Effective Weight,Raw Step 2.4 Weight,Daily Exposure,Effective Weight %,Raw Step 2.4 Weight %,Last Exposure Date,Last Rebalance Date,Latest Cache Trading Date,Latest Cache Note,Daily Exposure Variant,Exposure Source Column,Model,Objective,Selection Rule,Sleeve,Signal Source Close Date
GOOG,0.0999999999999998,0.0999999999999998,1.0,9.99999999999998,9.99999999999998,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
AMZN,0.0999999999999998,0.0999999999999998,1.0,9.99999999999998,9.99999999999998,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
NVDA,0.0999999999999998,0.0999999999999998,1.0,9.99999999999998,9.99999999999998,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
AVGO,0.0999999999999998,0.0999999999999998,1.0,9.99999999999998,9.99999999999998,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
NFLX,0.0999999999999998,0.0999999999999998,1.0,9.99999999999998,9.99999999999998,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
AMD,0.0999999999999998,0.0999999999999998,1.0,9.99999999999998,9.99999999999998,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
XOM,0.0999999999999998,0.0999999999999998,1.0,9.99999999999998,9.99999999999998,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
INTC,0.0999999999999996,0.0999999999999996,1.0,9.999999999999961,9.999999999999961,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
UNH,0.0999999999999995,0.0999999999999995,1.0,9.99999999999995,9.99999999999995,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
MU,0.0999999999999994,0.0999999999999994,1.0,9.99999999999994,9.99999999999994,2026-05-28,2026-04-30,2026-05-28,"Daily exposure is recalculated locally from the latest cached SPY close. Because the rule is lag-1, the effective exposure date uses the prior close signal.",S&P trend,S&P trend,Dynamic HMM Copula,mean_variance,"Fresh full PIT reselect, vol clustering, and reoptimization from Step 2.4 config; Step 2.5 exposure applied afterward",US Equity,2026-05-27
